time,title,category
20130102,"코스닥, 미국 재정절벽 합의안 통과에 강세 유지",종이목재
20130102,[마감시황]코스피 새해 첫 거래일 2030선 회복,종이목재
20130102,"[종합시황] 코스피, 새해 첫날 美 훈풍에 급등",종이목재
20130102,[지점장 View] 기본에 충실할 때…실적·성장성 위주 선별,종이목재
20130102,2013 쾌조의 스타트…코스피 9개월만에 2030선 회복,종이목재
20130102,"[개장시황]코스피, 美 재정절벽 타결에 강세 출발",종이목재
20130103,코스피 30주년…시가총액 349배 증가,종이목재
20130103,"코스피, 30살 됐다...15배 급등",종이목재
20130103,"거래소 ""코스피지수, 30년동안 1530% 상승""",종이목재
20130103,코스피 30년… 전기전자업종 8535% 수익,종이목재
20130103,[마감시황]코스피 2019선…아이유株 로엔 '활짝',종이목재
20130103,"코스닥, 약보합세 지속…외국인·기관 매도",종이목재
20130103,증시 2020선 초반…삼성전자 1% 넘게 하락,종이목재
20130103,[코스닥마감]외국인·기관 매도 하루만에 500선 붕괴,종이목재
20130103,코스피지수 30년…지수 15배 뛰었지만 건설주는 제자리걸음,종이목재
20130103,"[시황]코스닥, 나흘째 상승세...500선 유지",종이목재
20130104,[마감시황]대형株 매도 코스피 '발목'…2011선,종이목재
20130104,"""금융·항공·전기가스株 비중확대 권고""-신한투자",종이목재
20130104,[55분시황]코스피 낙폭 확대 vs 코스닥 상승탄력 강화,종이목재
20130104,"코스닥, 500선 문턱서 강보합… 0.17%↑",종이목재
20130104,[코스피지수 30년] 주식투자 수익률 28배 … 변동성 심해,종이목재
20130104,"""대형주 약세에 발목""..코스피 이틀째 하락마감",종이목재
20130104,"코스피 30년, 삼성전자 필두 전기전자 ´수직상승´",종이목재
20130104,"[출발시황] 코스피, 외인ㆍ기관 동반 매도 '약보합'",종이목재
20130104,"[마감 시황]코스피, 기관 '팔자'에 이틀째 하락 마감",종이목재
20130104,"<개장시황> 코스닥, 500선 웃돌며 출발… 개인·외국인 ‘사자’",종이목재
20130106,"'서른 살' 코스피, 지수 16배 뛰고 몸집 350배 커졌다",종이목재
20130107,"[시황종합] 코스피, 外人 '팔자'에 약보합…사흘째 하락",종이목재
20130107,[마감시황]코스피 2011선…제약·자동차부품株 ↑,종이목재
20130107,"[개장 시황]코스피, 외인·기관 매도에 하락반전",종이목재
20130107,[55분시황]코스피 낙폭 대부분 만회...2010선,종이목재
20130107,코스피 2000선 하회…기관 外人 매도공세,종이목재
20130107,"[마감 시황]코스피, 막판 전환 성공…2011.25",종이목재
20130107,"<장중시황> 코스피, PR 순매수에 2000선 유지",종이목재
20130107,"(7줄시황)코스피, 2000선 회복..제약주 강세(12:00)",종이목재
20130107,"[마감 시황]코스피, 사흘 연속 하락…2010선 '턱걸이'",종이목재
20130107,"<개장시황> 상승출발 코스피, 외국인 매도에 하락 전환",종이목재
20130108,"코스닥, 사흘째 상승 마감..510선 '육박'",종이목재
20130108,[마감시황]코스피 2000선 하회…제약·모바일株 '두각',종이목재
20130108,"코스피 2,000 붕괴…삼성전자 150만원 턱걸이",종이목재
20130108,[코스닥시황] 금융업종 큰 폭 상승,종이목재
20130108,"[55분시황]코스피 횡보, 개인 홀로 '사자'",종이목재
20130108,"코스닥, 사흘째 오름세… 0.12%↑",종이목재
20130108,"코스피지수, 2000선 다시 무너져",종이목재
20130108,"코스피, 나흘 연속 하락..2000선대 지지",종이목재
20130108,"코스피, 삼성電 호실적 불구 2000선 내줘(마감)",종이목재
20130108,"코스피 관망심리로 약보합세…2,000선 초반",종이목재
20130109,"[코스닥마감]외인-기관, 나흘째 '사자'...510선 돌파",종이목재
20130109,"코스피 1,991…실적발표 부담에 닷새째 하락(종합)",종이목재
20130109,[코스피시황] 옵션 만기일 앞두고 5일째 하락,종이목재
20130109,충무로 인쇄골목 화재 30분만에 진화(상보),종이목재
20130109,"코스피지수, 기관 매도 공세에 하락",종이목재
20130109,코스피 2000 아래로 후퇴…등락 거듭,종이목재
20130109,[마감]코스피 닷새째 뒷걸음질..'어닝시즌 눈치보기',종이목재
20130109,"코스피, 제약주 선전 속에 1990선 턱걸이(마감)",종이목재
20130109,"[14시 시황]코스피, 1990선 후퇴…현대차3인방↑",종이목재
20130109,[시황종합]코스피·코스닥 디커플링 지속,종이목재
