time,title,category
20130101,美재정절벽 협상 타결…1월 증시 '월척' 낚을까,운수장비
20130102,"증시 기분좋은 출발…코스피 2,030, 코스닥 500 회복",운수장비
20130102,"새해 첫날 코스피 2,030 넘어…삼성전자 157만원(종합)",운수장비
20130102,코스피 9개월만에 2030선 돌파,운수장비
20130102,"증시, 美 재정절벽 우려 해소에 `훨훨`",운수장비
20130102,[코스닥시황] 운송·비금속 등 강세,운수장비
20130102,"계사년 첫날, 코스피지수 단숨에 2030선 돌파",운수장비
20130102,"코스피, 2000선 돌파... 삼성電 또 역대 최고가",운수장비
20130102,"[마감 시황]코스피, 새해 효과는 컸다…2031.10 마감",운수장비
20130102,[코스피/마감] 외국인·기관 동반 매수…2030선 안착,운수장비
20130102,"[장외주식시황] 삼성SDS, 강세",운수장비
20130103,"코스피 2,019로 후퇴(종합)",운수장비
20130103,"'환율의 역습'…증시, 재정절벽 합의에도 뒷걸음질",운수장비
20130103,[55분시황]코스피 약보합 지속...현대차 3인방 ↓,운수장비
20130103,수출주 내리막…코스피지수 6일만에 약세,운수장비
20130103,"[12시 시황]조정받는 코스피, 2020선 등락",운수장비
20130103,기관 매도에 밀린 코스피..2020선,운수장비
20130103,"코스피, 기관 매물에 낙폭 확대..'자동차株 후진'",운수장비
20130103,"코스피, 6일만에 반락해 2020선 하회…자동차株 '추락'",운수장비
20130103,[코스피/마감] 상승 피로감…하락 반전,운수장비
20130103,코스피 美 재정절벽 합의에도 소폭 하락,운수장비
20130104,"코스피, QE4 조기종료 우려에 하락 마감",운수장비
20130104,"코스피지수, 이틀째 뒷걸음질",운수장비
20130104,"[마감]코스피, 이틀째 하락..'2010선 턱걸이'",운수장비
20130104,(수급NOW)외국인 차익거래 중심 관망세,운수장비
20130104,"[마감 시황]코스피, 기관 '팔자'에 이틀째 하락 마감",운수장비
20130104,[코스피/마감] 기관 매도세에 조정 이어져,운수장비
20130104,"코스피, 낙폭 확대…2000선 '아슬'",운수장비
20130104,자동차주 하락세에도 증권가는 상승 전망,운수장비
20130104,코스피 속도조절 및 중형주 상대우위 경로예상-현대證,운수장비
20130104,"코스피, 소폭 하락 ""숨고르기 연장""",운수장비
20130105,<증시전망> 삼성電 4분기 실적ㆍ환율 영향받을 듯,운수장비
20130105,[주간 경제기상]국내증시_4분기 어닝시즌 도래…증시 상승 이끌 수 있을까?,운수장비
20130106,[장외시장동향] 전반적 강세…IPO주는 희비 엇갈려,운수장비
20130106,<주간 증시전망> 삼성전자 4분기 실적 등이 변수,운수장비
20130106,"[주간증시]삼성전자 실적, 기준금리 조정 여부 관심",운수장비
20130107,코스피 등락 끝 약보합 마감…환율 0.10↑ 1천63.70원,운수장비
20130107,증시 눈치보기?…기업실적발표 앞두고 혼전,운수장비
20130107,[뉴시스아이즈]2013 증시 '상저하고'…미국 '3차 양적완화'에 큰 기대,운수장비
20130107,"[마감 시황]코스피, 막판 전환 성공…2011.25",운수장비
20130107,"[장외주식시황] OCI스페셜티, 업황 개선 기대로 한주간 15% 급등",운수장비
20130107,"""美 재정절벽 해소로 안도랠리..중소형주 전략적 접근""",운수장비
20130107,"[10시 시황]코스피, 2000 불안…기관·외인 매도 공세",운수장비
20130107,LG디스플 약세.. LG 사상최대규모 투자 수혜주는,운수장비
